chunk_id,source_row_id,article_id,title,published_date,text
https://www.businesswire.com/news/home/20230515005855/en/onsemi-and-Sineng-Electric-Spearhead-the-Development-of-Sustainable-Energy-Applications/::c0000,0,https://www.businesswire.com/news/home/20230515005855/en/onsemi-and-Sineng-Electric-Spearhead-the-Development-of-Sustainable-Energy-Applications/,onsemi and Sineng Electric Spearhead the Development of Sustainable Energy Applications,2023-05-16,onsemi and Sineng Electric Spearhead the Development of Sustainable Energy Applications. (Nasdaq: ON) a leader in intelligent power and sensing technologies today announced that Sineng Electric will integrate onsemi EliteSiC silic
https://www.crn.com/news/managed-services/terry-richardson-on-why-he-left-amd-greenpages-technology-chops-and-the-ai-opportunity::c0000,3,https://www.crn.com/news/managed-services/terry-richardson-on-why-he-left-amd-greenpages-technology-chops-and-the-ai-opportunity,Terry Richardson On Why He Left AMD GreenPages’ Technology Chops And The AI Opportunity,2023-05-02,Terry Richardson On Why He Left AMD GreenPages’ Technology Chops And The AI Opportunity. In February GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm ... Steve Burke has been reporting on the technology industry and sales channel for ...
https://www.buffalo.edu/administrative-services/information-for-suppliers.html::r00030::c0000,30,https://www.buffalo.edu/administrative-services/information-for-suppliers.html,Information for Suppliers,2023-07-03,Information for Suppliers. or service that use covered telecommunications equipment or services as a substantial or essential component of any system or as critical technology as part of any system. Additional information may be found at FAR Clause 52.204-25. Exhibit X Exhibit X is ...
https://economictimes.indiatimes.com/lt-technology-services-ltd/stocksupdate/companyid-64987.cms::r00035::c0000,35,https://economictimes.indiatimes.com/lt-technology-services-ltd/stocksupdate/companyid-64987.cms,L&T Technology Services Schedule Of Analyst/ Institutional Investor Meetings,2023-08-08,L&T Technology Services Schedule Of Analyst/ Institutional Investor Meetings. 5 Incremental borrowing done in FY (T)(a) 0.00 6 Mandatory borrowing to be done through debt securities in FY (T) (b) = (25% of a) 0.00 7 Actual borrowing done through debt securities in FY (T)(c) 0.00 8 Shortfall in the borrowing through debt securities ...
https://skift.com/2023/07/11/sojern-expands-into-new-hotel-tech-via-acquisition-heres-the-thinking/::c0000,39,https://skift.com/2023/07/11/sojern-expands-into-new-hotel-tech-via-acquisition-heres-the-thinking/,Sojern Expands into New Hotel Tech Via Acquisition. Here’s the Thinking.,2023-07-11,Sojern Expands into New Hotel Tech Via Acquisition. Here’s the Thinking.. Sojern has acquired VenueLytics a platform that provides guest management and communications software for independent hotels.
https://bestmediainfo.com/2023/03/ias-provides-verification-solution-to-amazon-publisher-services-connections-marketplace::c0000,46,https://bestmediainfo.com/2023/03/ias-provides-verification-solution-to-amazon-publisher-services-connections-marketplace,IAS provides verification solution to Amazon Publisher Services Connections Marketplace,2023-03-29,IAS provides verification solution to Amazon Publisher Services Connections Marketplace. With this IAS is now the first verification provider accessible within the APS Connections Marketplace – a services marketplace where publishers can easily activate multiple technology solutions saving them time and resources and creating new revenue ...
https://markets.businessinsider.com/news/stocks/intelligent-technical-solutions-expands-acquires-five-managed-service-providers-1032196706::c0000,50,https://markets.businessinsider.com/news/stocks/intelligent-technical-solutions-expands-acquires-five-managed-service-providers-1032196706,Intelligent Technical Solutions Expands Acquires Five Managed Service Providers,2023-03-28,"Intelligent Technical Solutions Expands Acquires Five Managed Service Providers. Intelligent Technical Solutions ('""ITS'"") a portfolio company of Tower Arch Capital is pleased to announce that it has acquired Granite Computer Solutions ( Tempe AZ ) BrightWire Networks ( Olympia"
https://it.tmcnet.com/news/2023/08/14/9863898.htm::c0000,54,https://it.tmcnet.com/news/2023/08/14/9863898.htm,SIOS Technology Announces Partnership with ACP IT Solutions Expanding the Benefits of its High-Availability Software Solutions,2023-08-14,SIOS Technology Announces Partnership with ACP IT Solutions Expanding the Benefits of its High-Availability Software Solutions. SIOS Technology Corp . an industry leader in application high availability (HA) and disaster recovery (DR) today announced it has partnered with ACP IT Solutions GmbH Dresden that supports customers throughout Germany
https://hk.finance.yahoo.com/news/q2-2023-information-services-group-055221584.html::c0000,60,https://hk.finance.yahoo.com/news/q2-2023-information-services-group-055221584.html,Q2 2023 Information Services Group Inc Earnings Call,2023-08-05,Q2 2023 Information Services Group Inc Earnings Call. Barry Holt; Senior Advisor; Information Services Group ... a leading global health care technology company awarded ISG a new million dollar ISG governance contract. The contract extends our scope of services with this client which has 140 active GovernX ...
https://www.yahoo.com/now/ridgewood-infrastructure-ide-technologies-announce-140200379.html::c0000,79,https://www.yahoo.com/now/ridgewood-infrastructure-ide-technologies-announce-140200379.html,Ridgewood Infrastructure and IDE Technologies Announce Water PPP with the City of Ft. Lauderdale,2023-02-21,"Ridgewood Infrastructure and IDE Technologies Announce Water PPP with the City of Ft. Lauderdale. '""The Prospect Lake Clean Water Center is designed with a focus on sustainability using state-of-the-art nano-filtration and ion exchange technology ... and Utilities. For more information please visit www.ridgewoodinfrastructure.com."
