community_id,size,hubs,dominant_relations,report
106,18,artificial intelligence | Google | data centers | Meta | KPMG | Amazon | unknown tracker alerts | IBM,DEVELOPED | USES | PARTNERED_WITH | INVESTED_IN,"Community 106 contains 18 entities. Main hubs: artificial intelligence, Google, data centers, Meta, KPMG, Amazon, unknown tracker alerts, IBM. Dominant relation types: DEVELOPED, USES, PARTNERED_WITH, INVESTED_IN."
89,12,Microsoft | AI | Apple | tech support | Climate Innovation Fund | FirstDraftTM | Dynamics 365 Finance and Operations | Microsoft Copilot,USES | PARTNERED_WITH | DEVELOPED | INVESTED_IN,"Community 89 contains 12 entities. Main hubs: Microsoft, AI, Apple, tech support, Climate Innovation Fund, FirstDraftTM, Dynamics 365 Finance and Operations, Microsoft Copilot. Dominant relation types: USES, PARTNERED_WITH, DEVELOPED, INVESTED_IN."
16,11,NVIDIA | ServiceNow | OpenAI | generative AI | ChatGPT | Accenture | OX-GPT | Ox Appsec Security Ltd.,PARTNERED_WITH | DEVELOPED | USES,"Community 16 contains 11 entities. Main hubs: NVIDIA, ServiceNow, OpenAI, generative AI, ChatGPT, Accenture, OX-GPT, Ox Appsec Security Ltd.. Dominant relation types: PARTNERED_WITH, DEVELOPED, USES."
27,5,Senser | Yuval Lev | DriveNets | Or Sadeh | Intel Ignite,FOUNDED | WORKED_AT | PARTNERED_WITH,"Community 27 contains 5 entities. Main hubs: Senser, Yuval Lev, DriveNets, Or Sadeh, Intel Ignite. Dominant relation types: FOUNDED, WORKED_AT, PARTNERED_WITH."
11,5,Smart Eye | AIS Driver Monitoring System | Geotab | Linde | Driver Monitoring System,DEVELOPED | PARTNERED_WITH,"Community 11 contains 5 entities. Main hubs: Smart Eye, AIS Driver Monitoring System, Geotab, Linde, Driver Monitoring System. Dominant relation types: DEVELOPED, PARTNERED_WITH."
7,5,UKG | G-P | Prolucent Health | Scan-Optics | HR payroll and workforce management solutions,PARTNERED_WITH | DEVELOPED,"Community 7 contains 5 entities. Main hubs: UKG, G-P, Prolucent Health, Scan-Optics, HR payroll and workforce management solutions. Dominant relation types: PARTNERED_WITH, DEVELOPED."
33,4,Broadridge Financial Solutions | Syndio | Syndio’s technology | Broadridge,PARTNERED_WITH | USES,"Community 33 contains 4 entities. Main hubs: Broadridge Financial Solutions, Syndio, Syndio’s technology, Broadridge. Dominant relation types: PARTNERED_WITH, USES."
36,4,PSG | BioProTTTM FlowSU System | SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter | Dover,DEVELOPED | PARTNERED_WITH,"Community 36 contains 4 entities. Main hubs: PSG, BioProTTTM FlowSU System, SumoFlo® CPFM-8103 Single-Use Coriolis Mass Flow Meter, Dover. Dominant relation types: DEVELOPED, PARTNERED_WITH."
114,4,WiMi | silent speech recognition system | Hologram Augmented Reality (AR) Technology | multi-featured signal perception technology,DEVELOPED,"Community 114 contains 4 entities. Main hubs: WiMi, silent speech recognition system, Hologram Augmented Reality (AR) Technology, multi-featured signal perception technology. Dominant relation types: DEVELOPED."
154,4,SAM4 | Samotics | technique | thyssenkrupp,PARTNERED_WITH | DEVELOPED | USES,"Community 154 contains 4 entities. Main hubs: SAM4, Samotics, technique, thyssenkrupp. Dominant relation types: PARTNERED_WITH, DEVELOPED, USES."
137,4,Aran Azarzar | JFrog | Shlomi Ben Haim | JFrog’s Information Technology organization,LEADS | FOUNDED,"Community 137 contains 4 entities. Main hubs: Aran Azarzar, JFrog, Shlomi Ben Haim, JFrog’s Information Technology organization. Dominant relation types: LEADS, FOUNDED."
8,3,Fidelity National Information Services | Worldpay | technology solutions for merchants banks,ACQUIRED | DEVELOPED,"Community 8 contains 3 entities. Main hubs: Fidelity National Information Services, Worldpay, technology solutions for merchants banks. Dominant relation types: ACQUIRED, DEVELOPED."
15,3,Synechron | dataSense | VisionGroup,PARTNERED_WITH | USES,"Community 15 contains 3 entities. Main hubs: Synechron, dataSense, VisionGroup. Dominant relation types: PARTNERED_WITH, USES."
2,3,Sojern | VenueLytics | PUSHTechTM,ACQUIRED | PARTNERED_WITH,"Community 2 contains 3 entities. Main hubs: Sojern, VenueLytics, PUSHTechTM. Dominant relation types: ACQUIRED, PARTNERED_WITH."
29,3,SITA | Airports Authority of India | technology to 43 of India’s biggest airports,PARTNERED_WITH | USES,"Community 29 contains 3 entities. Main hubs: SITA, Airports Authority of India, technology to 43 of India’s biggest airports. Dominant relation types: PARTNERED_WITH, USES."
32,3,H.I.G. Capital | Meesons Futures Limited | Synecore Limited,ACQUIRED,"Community 32 contains 3 entities. Main hubs: H.I.G. Capital, Meesons Futures Limited, Synecore Limited. Dominant relation types: ACQUIRED."
13,3,o9 Solutions | AI powered software platform | Telangana Government,DEVELOPED | PARTNERED_WITH,"Community 13 contains 3 entities. Main hubs: o9 Solutions, AI powered software platform, Telangana Government. Dominant relation types: DEVELOPED, PARTNERED_WITH."
12,3,Raleon | Nathan Snell | nCino,FOUNDED | LEADS,"Community 12 contains 3 entities. Main hubs: Raleon, Nathan Snell, nCino. Dominant relation types: FOUNDED, LEADS."
4,3,Intelligent Technical Solutions | Granite Computer Solutions | BrightWire Networks,ACQUIRED,"Community 4 contains 3 entities. Main hubs: Intelligent Technical Solutions, Granite Computer Solutions, BrightWire Networks. Dominant relation types: ACQUIRED."
43,3,Resonac | SiC materials | Infineon,PARTNERED_WITH | USES,"Community 43 contains 3 entities. Main hubs: Resonac, SiC materials, Infineon. Dominant relation types: PARTNERED_WITH, USES."
65,3,OMNICOMMANDER | Digital Branch | Signet FCU,PARTNERED_WITH | DEVELOPED,"Community 65 contains 3 entities. Main hubs: OMNICOMMANDER, Digital Branch, Signet FCU. Dominant relation types: PARTNERED_WITH, DEVELOPED."
66,3,Technical Safety Services | Levine Leichtman Capital Partners | Precision Air Technology,ACQUIRED | WORKED_AT,"Community 66 contains 3 entities. Main hubs: Technical Safety Services, Levine Leichtman Capital Partners, Precision Air Technology. Dominant relation types: ACQUIRED, WORKED_AT."
44,3,New Charter Technologies | Biz Technology Solutions Inc. | Oval Partners,PARTNERED_WITH | INVESTED_IN,"Community 44 contains 3 entities. Main hubs: New Charter Technologies, Biz Technology Solutions Inc., Oval Partners. Dominant relation types: PARTNERED_WITH, INVESTED_IN."
93,3,Staytuned Digital | Serge Kassardjian | Salesforce suite for e-commerce,DEVELOPED | FOUNDED,"Community 93 contains 3 entities. Main hubs: Staytuned Digital, Serge Kassardjian, Salesforce suite for e-commerce. Dominant relation types: DEVELOPED, FOUNDED."
97,3,When I Work | Kavitha Radhakrishnan | Paul Cowan,LEADS,"Community 97 contains 3 entities. Main hubs: When I Work, Kavitha Radhakrishnan, Paul Cowan. Dominant relation types: LEADS."
76,3,Dragos Partner Program | Dragos | channel partners,DEVELOPED | PARTNERED_WITH,"Community 76 contains 3 entities. Main hubs: Dragos Partner Program, Dragos, channel partners. Dominant relation types: DEVELOPED, PARTNERED_WITH."
68,3,StoreDot | VinES | Extreme Fast Charging (XFC) batteries,DEVELOPED | PARTNERED_WITH,"Community 68 contains 3 entities. Main hubs: StoreDot, VinES, Extreme Fast Charging (XFC) batteries. Dominant relation types: DEVELOPED, PARTNERED_WITH."
38,3,Biognosys | Bruker | 4D proteomics timsTOF technology,PARTNERED_WITH | USES,"Community 38 contains 3 entities. Main hubs: Biognosys, Bruker, 4D proteomics timsTOF technology. Dominant relation types: PARTNERED_WITH, USES."
42,3,CoolSys | Ares Management | 1GNITE,ACQUIRED | INVESTED_IN,"Community 42 contains 3 entities. Main hubs: CoolSys, Ares Management, 1GNITE. Dominant relation types: ACQUIRED, INVESTED_IN."
152,3,Doug | amateur ham radio | homemade antenna,USES | WORKED_AT,"Community 152 contains 3 entities. Main hubs: Doug, amateur ham radio, homemade antenna. Dominant relation types: USES, WORKED_AT."
158,3,Technology Services Division | all City divisions | modernizing City services,PARTNERED_WITH | LEADS,"Community 158 contains 3 entities. Main hubs: Technology Services Division, all City divisions, modernizing City services. Dominant relation types: PARTNERED_WITH, LEADS."
145,3,Howard Tullman | G2T3V LLC | Chicago High Tech Investors LLC,LEADS,"Community 145 contains 3 entities. Main hubs: Howard Tullman, G2T3V LLC, Chicago High Tech Investors LLC. Dominant relation types: LEADS."
146,3,Jakub Žalio | Übank | Creditinfo Group,WORKED_AT,"Community 146 contains 3 entities. Main hubs: Jakub Žalio, Übank, Creditinfo Group. Dominant relation types: WORKED_AT."
107,3,UJET | Google Cloud | Contact Center AI Platform (CCAI),PARTNERED_WITH | USES,"Community 107 contains 3 entities. Main hubs: UJET, Google Cloud, Contact Center AI Platform (CCAI). Dominant relation types: PARTNERED_WITH, USES."
102,3,Information Services Group | ISG Provider Lens AWS | industry,DEVELOPED | LEADS,"Community 102 contains 3 entities. Main hubs: Information Services Group, ISG Provider Lens AWS, industry. Dominant relation types: DEVELOPED, LEADS."
161,3,AI programs | Midjourney 4 | Midjourney Version 5,DEVELOPED,"Community 161 contains 3 entities. Main hubs: AI programs, Midjourney 4, Midjourney Version 5. Dominant relation types: DEVELOPED."
104,3,WiseTech Global | Blume Global | CargoWise,ACQUIRED | DEVELOPED,"Community 104 contains 3 entities. Main hubs: WiseTech Global, Blume Global, CargoWise. Dominant relation types: ACQUIRED, DEVELOPED."
111,3,Diocese of Colorado Springs | parents | Sheila Whalen,PARTNERED_WITH | LEADS,"Community 111 contains 3 entities. Main hubs: Diocese of Colorado Springs, parents, Sheila Whalen. Dominant relation types: PARTNERED_WITH, LEADS."
113,3,Center for Democracy and Technology | student activity monitoring | artificial intelligence content filtering,DEVELOPED,"Community 113 contains 3 entities. Main hubs: Center for Democracy and Technology, student activity monitoring, artificial intelligence content filtering. Dominant relation types: DEVELOPED."
67,3,Sensorium | Sensorium Galaxy | DWF Labs,INVESTED_IN | DEVELOPED,"Community 67 contains 3 entities. Main hubs: Sensorium, Sensorium Galaxy, DWF Labs. Dominant relation types: INVESTED_IN, DEVELOPED."
82,3,Laurie Starcher | smartphone | AT&T,WORKED_AT | USES,"Community 82 contains 3 entities. Main hubs: Laurie Starcher, smartphone, AT&T. Dominant relation types: WORKED_AT, USES."
149,3,National Information Service | Kinneret Barashi | Prime Minister Netanyahu,LEADS,"Community 149 contains 3 entities. Main hubs: National Information Service, Kinneret Barashi, Prime Minister Netanyahu. Dominant relation types: LEADS."
118,3,Koch Engineered Solutions | Percepto | AI and Autonomous Drone Technology,PARTNERED_WITH | USES,"Community 118 contains 3 entities. Main hubs: Koch Engineered Solutions, Percepto, AI and Autonomous Drone Technology. Dominant relation types: PARTNERED_WITH, USES."
99,3,Ankr | Tencent Cloud Blockchain RPC | Tencent Cloud,DEVELOPED | PARTNERED_WITH,"Community 99 contains 3 entities. Main hubs: Ankr, Tencent Cloud Blockchain RPC, Tencent Cloud. Dominant relation types: DEVELOPED, PARTNERED_WITH."
157,3,Quantum Corridor | READI projects | Digital Crossroad,DEVELOPED,"Community 157 contains 3 entities. Main hubs: Quantum Corridor, READI projects, Digital Crossroad. Dominant relation types: DEVELOPED."
52,3,SynFutures | Oyster AMM | V3 Perpetual Futures DEX,DEVELOPED,"Community 52 contains 3 entities. Main hubs: SynFutures, Oyster AMM, V3 Perpetual Futures DEX. Dominant relation types: DEVELOPED."
31,2,Ochsner Health | iPhone technology,USES,"Community 31 contains 2 entities. Main hubs: Ochsner Health, iPhone technology. Dominant relation types: USES."
23,2,Truescope | Universal Information Services,ACQUIRED,"Community 23 contains 2 entities. Main hubs: Truescope, Universal Information Services. Dominant relation types: ACQUIRED."
24,2,Talkiatry | Transact,PARTNERED_WITH,"Community 24 contains 2 entities. Main hubs: Talkiatry, Transact. Dominant relation types: PARTNERED_WITH."
28,2,Syntax Health Inc. | Syntax Health Inc. enterprise SaaS-based solution,DEVELOPED,"Community 28 contains 2 entities. Main hubs: Syntax Health Inc., Syntax Health Inc. enterprise SaaS-based solution. Dominant relation types: DEVELOPED."
30,2,SMS Assist | Lessen,ACQUIRED,"Community 30 contains 2 entities. Main hubs: SMS Assist, Lessen. Dominant relation types: ACQUIRED."
6,2,LeanTaaS | Hospital IQ,ACQUIRED,"Community 6 contains 2 entities. Main hubs: LeanTaaS, Hospital IQ. Dominant relation types: ACQUIRED."
5,2,ACP IT Solutions GmbH Dresden | SIOS Technology Corp.,PARTNERED_WITH,"Community 5 contains 2 entities. Main hubs: ACP IT Solutions GmbH Dresden, SIOS Technology Corp.. Dominant relation types: PARTNERED_WITH."
9,2,Synergy | Fabric,PARTNERED_WITH,"Community 9 contains 2 entities. Main hubs: Synergy, Fabric. Dominant relation types: PARTNERED_WITH."
10,2,Emerson | Syzygy Plasmonics,USES,"Community 10 contains 2 entities. Main hubs: Emerson, Syzygy Plasmonics. Dominant relation types: USES."
0,2,Sineng Electric | onsemi EliteSiC silic,USES,"Community 0 contains 2 entities. Main hubs: Sineng Electric, onsemi EliteSiC silic. Dominant relation types: USES."
1,2,GreenPages | Zanaris,ACQUIRED,"Community 1 contains 2 entities. Main hubs: GreenPages, Zanaris. Dominant relation types: ACQUIRED."
25,2,EVOTEK | Syxsense,PARTNERED_WITH,"Community 25 contains 2 entities. Main hubs: EVOTEK, Syxsense. Dominant relation types: PARTNERED_WITH."
26,2,Seymour High School | Ivy Tech Community College - Columbus,PARTNERED_WITH,"Community 26 contains 2 entities. Main hubs: Seymour High School, Ivy Tech Community College - Columbus. Dominant relation types: PARTNERED_WITH."
22,2,HID Origo Technology Partner Program | HID,DEVELOPED,"Community 22 contains 2 entities. Main hubs: HID Origo Technology Partner Program, HID. Dominant relation types: DEVELOPED."
21,2,Ryan Specialty | Socius Insurance Services,ACQUIRED,"Community 21 contains 2 entities. Main hubs: Ryan Specialty, Socius Insurance Services. Dominant relation types: ACQUIRED."
20,2,Evernorth Health Services | Bright.md Technology Platform,ACQUIRED,"Community 20 contains 2 entities. Main hubs: Evernorth Health Services, Bright.md Technology Platform. Dominant relation types: ACQUIRED."
19,2,Juniper Networks | Deutsche Telekom,PARTNERED_WITH,"Community 19 contains 2 entities. Main hubs: Juniper Networks, Deutsche Telekom. Dominant relation types: PARTNERED_WITH."
3,2,IAS | Amazon Publisher Services Connections Marketplace,PARTNERED_WITH,"Community 3 contains 2 entities. Main hubs: IAS, Amazon Publisher Services Connections Marketplace. Dominant relation types: PARTNERED_WITH."
14,2,Pavion | K&J Integrated Systems,ACQUIRED,"Community 14 contains 2 entities. Main hubs: Pavion, K&J Integrated Systems. Dominant relation types: ACQUIRED."
17,2,MEF | CyberRatings.org,PARTNERED_WITH,"Community 17 contains 2 entities. Main hubs: MEF, CyberRatings.org. Dominant relation types: PARTNERED_WITH."
18,2,stow Robotics | Phononic,PARTNERED_WITH,"Community 18 contains 2 entities. Main hubs: stow Robotics, Phononic. Dominant relation types: PARTNERED_WITH."
34,2,SIFU(R) Technology | Athersys,DEVELOPED,"Community 34 contains 2 entities. Main hubs: SIFU(R) Technology, Athersys. Dominant relation types: DEVELOPED."
64,2,Yotta | Sunstone,PARTNERED_WITH,"Community 64 contains 2 entities. Main hubs: Yotta, Sunstone. Dominant relation types: PARTNERED_WITH."
63,2,Priority Software | Evolve Information Solutions,PARTNERED_WITH,"Community 63 contains 2 entities. Main hubs: Priority Software, Evolve Information Solutions. Dominant relation types: PARTNERED_WITH."
62,2,AlarMax Distributors | Northern Sound & Light,ACQUIRED,"Community 62 contains 2 entities. Main hubs: AlarMax Distributors, Northern Sound & Light. Dominant relation types: ACQUIRED."
60,2,University of Sheffield | UKAEA,PARTNERED_WITH,"Community 60 contains 2 entities. Main hubs: University of Sheffield, UKAEA. Dominant relation types: PARTNERED_WITH."
59,2,eAir | National University of Singapore,DEVELOPED,"Community 59 contains 2 entities. Main hubs: eAir, National University of Singapore. Dominant relation types: DEVELOPED."
61,2,fusion technology | UKAEA and University of Sheffield,DEVELOPED,"Community 61 contains 2 entities. Main hubs: fusion technology, UKAEA and University of Sheffield. Dominant relation types: DEVELOPED."
71,2,Digi International | SkyCloud 23.5 Update,DEVELOPED,"Community 71 contains 2 entities. Main hubs: Digi International, SkyCloud 23.5 Update. Dominant relation types: DEVELOPED."
74,2,ISG | more than 900 clients,PARTNERED_WITH,"Community 74 contains 2 entities. Main hubs: ISG, more than 900 clients. Dominant relation types: PARTNERED_WITH."
