id,name,name_norm,type,aliases,aliases_norm
lab19_b1d4bcc3cf0bdd464cb971b3,Sineng Electric,sineng electric,Company,['Sineng Electric'],['sineng electric']
lab19_d5a3173601c6bc2ac3df1b30,onsemi EliteSiC silic,onsemi elitesic silic,Technology,['onsemi EliteSiC silic'],['onsemi elitesic silic']
lab19_0430a89df77e6234ef375307,GreenPages,greenpages,Company,['GreenPages'],['greenpages']
lab19_d00f157aa6483414b0dba69f,Zanaris,zanaris,Company,['Zanaris'],['zanaris']
lab19_35e37b7b526c1fa5530c8c36,Sojern,sojern,Company,['Sojern'],['sojern']
lab19_96855539b7d5c1ad242bac9f,VenueLytics,venuelytics,Technology,['VenueLytics'],['venuelytics']
lab19_36f5716915bc9a820d632fe5,IAS,ias,Company,['IAS'],['ias']
lab19_7e0e53d4371f71849a9f1cdf,Amazon Publisher Services Connections Marketplace,amazon publisher services connections marketplace,Technology,['Amazon Publisher Services Connections Marketplace'],['amazon publisher services connections marketplace']
lab19_23d7ceb58c062d83135817ba,Intelligent Technical Solutions,intelligent technical solutions,Company,['Intelligent Technical Solutions'],['intelligent technical solutions']
lab19_71006530fc72a47a51a3f8e4,Granite Computer Solutions,granite computer solutions,Company,['Granite Computer Solutions'],['granite computer solutions']
lab19_13560ce11a7425ac7d706b75,BrightWire Networks,brightwire networks,Company,['BrightWire Networks'],['brightwire networks']
lab19_174ebc72eaa6debdae9049a9,SIOS Technology Corp.,sios technology corp.,Company,['SIOS Technology Corp.'],['sios technology corp.']
lab19_c7731f8aaf2677eb3ece67e5,ACP IT Solutions GmbH Dresden,acp it solutions gmbh dresden,Company,['ACP IT Solutions GmbH Dresden'],['acp it solutions gmbh dresden']
lab19_0d38fd81ca44fb425b0da5cc,LeanTaaS,leantaas,Company,['LeanTaaS'],['leantaas']
lab19_db47280f083160ab7a469f8a,Hospital IQ,hospital iq,Company,['Hospital IQ'],['hospital iq']
lab19_a7a6e962938e08298ced16f7,Prolucent Health,prolucent health,Company,['Prolucent Health'],['prolucent health']
lab19_e23c5421d4f8b156c0c6101c,UKG,ukg,Company,['UKG'],['ukg']
lab19_3f052c4690533ff0ac061e7c,Fidelity National Information Services,fidelity national information services,Company,"['Fidelity National Information Services', 'Fidelity National Information Services Inc.']","['fidelity national information services', 'fidelity national information services inc.']"
lab19_6c9d7e54e74efb990288221c,Worldpay,worldpay,Company,['Worldpay'],['worldpay']
lab19_bf06bdd462ec796408bcc48f,Dr. DeAngela Burns-Wallace,dr. deangela burns-wallace,Person,['Dr. DeAngela Burns-Wallace'],['dr. deangela burns-wallace']
lab19_ef574e369bf6c6c941890032,Office of Information Technology Services,office of information technology services,Technology,['Office of Information Technology Services'],['office of information technology services']
lab19_1fe1f5f8dfcd0769f305a49e,Chris Barber,chris barber,Person,['Chris Barber'],['chris barber']
lab19_ac2b74576b4ecd77fe6b1837,eastern regional team,eastern regional team,Technology,['eastern regional team'],['eastern regional team']
lab19_fd1ccd26b0294bb768797d22,Synergy,synergy,Company,['Synergy'],['synergy']
lab19_e4b0df104ec19010344792ec,Fabric,fabric,Company,['Fabric'],['fabric']
lab19_d8f7aec3e77bc45490b0e2b3,Syzygy Plasmonics,syzygy plasmonics,Company,['Syzygy Plasmonics'],['syzygy plasmonics']
lab19_eacca437b414d8785e48c335,Emerson,emerson,Company,['Emerson'],['emerson']
lab19_e37bc65aed41709c8353685f,Smart Eye,smart eye,Company,['Smart Eye'],['smart eye']
lab19_8ee7fac7e9752dc1200cfeb2,Driver Monitoring System,driver monitoring system,Technology,['Driver Monitoring System'],['driver monitoring system']
lab19_d50cae1021006e64e87fc55c,Linde,linde,Company,['Linde'],['linde']
lab19_fb0f4df56fab164ec48722f0,Microsoft,microsoft,Company,"['MSFT', 'Microsoft']","['microsoft', 'msft']"
lab19_dbd714fb0ceba74340c1e14f,Dynamics 365 Finance and Operations,dynamics 365 finance and operations,Technology,['Dynamics 365 Finance and Operations'],['dynamics 365 finance and operations']
lab19_fdcc62798ad39e7e1264dc77,Raleon,raleon,Company,['Raleon'],['raleon']
lab19_71121f31373728716eae11ed,nCino,ncino,Company,['nCino'],['ncino']
lab19_0e8cb1e145496e1cf52ec867,Nathan Snell,nathan snell,Person,['Nathan Snell'],['nathan snell']
lab19_098349719c431c0255ad6e14,o9 Solutions,o9 solutions,Company,['o9 Solutions'],['o9 solutions']
lab19_c321a107a5b06c3bbc9a839d,Telangana Government,telangana government,Company,['Telangana Government'],['telangana government']
lab19_96bb576190bf5616ac406439,AI powered software platform,ai powered software platform,Technology,['AI powered software platform'],['ai powered software platform']
lab19_9fed1582022a037a3cfb3d66,Christopher Kirchner,christopher kirchner,Person,['Christopher Kirchner'],['christopher kirchner']
lab19_4af878a52d972da7f5af3015,Slync,slync,Company,['Slync'],['slync']
lab19_7293212edb5d2cd24685b7b2,Pavion,pavion,Company,['Pavion'],['pavion']
lab19_c695a0230c23b793b74fb7ae,K&J Integrated Systems,k j integrated systems,Company,['K&J Integrated Systems'],['k j integrated systems']
lab19_d3375cc1a631efa9976e8d53,Synechron,synechron,Company,['Synechron'],['synechron']
lab19_373d890fb62f2b9835942939,VisionGroup,visiongroup,Company,['VisionGroup'],['visiongroup']
lab19_b8d7328656e25f2ac097dba8,dataSense,datasense,Technology,['dataSense'],['datasense']
lab19_34b8a61f0bc9f2595429d800,The Associated Press,the associated press,Company,['The Associated Press'],['the associated press']
lab19_773eeb9b7cc008bff365fcdd,OpenAI,openai,Company,['OpenAI'],['openai']
lab19_2b088c1a7495a477c910a268,generative AI,generative ai,Technology,['generative AI'],['generative ai']
lab19_ca5593fd5fb1f9231ea5306c,MEF,mef,Company,['MEF'],['mef']
lab19_6320eaafb986dcd86259945c,CyberRatings.org,cyberratings.org,Company,['CyberRatings.org'],['cyberratings.org']
lab19_76a986b1ff8cfae54ce1c5a1,Eric Schummer,eric schummer,Person,['Eric Schummer'],['eric schummer']
lab19_07f21a993871226abed12f9f,Senzary LLC,senzary llc,Company,['Senzary LLC'],['senzary llc']
lab19_acc85be475b4809c2dc82a75,stow Robotics,stow robotics,Company,['stow Robotics'],['stow robotics']
lab19_dec00e9cb5da179e31f18e39,Phononic,phononic,Company,['Phononic'],['phononic']
lab19_f012c5441b9142437c784c0e,Andrew Ellam,andrew ellam,Person,['Andrew Ellam'],['andrew ellam']
lab19_380e4fd538b122a566ba9c4a,Climate X,climate x,Company,['Climate X'],['climate x']
lab19_3564887d6a1e4da53ae9c984,Juniper Networks,juniper networks,Company,['Juniper Networks'],['juniper networks']
lab19_54d027f2dd69c8279492a2a3,Deutsche Telekom,deutsche telekom,Company,['Deutsche Telekom'],['deutsche telekom']
lab19_b904c950dd62f87b87bb2154,Evernorth Health Services,evernorth health services,Company,['Evernorth Health Services'],['evernorth health services']
lab19_2479af58195e497ca9a5e316,Bright.md Technology Platform,bright.md technology platform,Technology,['Bright.md Technology Platform'],['bright.md technology platform']
lab19_defc363d0ec1319a2bbf9335,Ryan Specialty,ryan specialty,Company,['Ryan Specialty'],['ryan specialty']
lab19_83b262183c78790168a7b94c,Socius Insurance Services,socius insurance services,Company,['Socius Insurance Services'],['socius insurance services']
lab19_3938e2c50c716cf4ab181bec,HID,hid,Company,['HID'],['hid']
lab19_f7c70111897b8aa08061daba,HID Origo Technology Partner Program,hid origo technology partner program,Technology,['HID Origo Technology Partner Program'],['hid origo technology partner program']
lab19_76d30bd48e9692cec398f666,Truescope,truescope,Company,['Truescope'],['truescope']
lab19_45f96e77e85bbef809c126ca,Universal Information Services,universal information services,Company,['Universal Information Services'],['universal information services']
lab19_5bdf23135506d01440f0eb3d,Transact,transact,Company,['Transact'],['transact']
lab19_2f1936a000dc9b182b3e913a,Talkiatry,talkiatry,Company,['Talkiatry'],['talkiatry']
lab19_11cc7c868fd7470c629d4783,Syxsense,syxsense,Company,['Syxsense'],['syxsense']
lab19_b96ec75459056943f97e6e63,EVOTEK,evotek,Company,['EVOTEK'],['evotek']
lab19_411762e1b83c80e073568065,Ivy Tech Community College - Columbus,ivy tech community college - columbus,Company,['Ivy Tech Community College - Columbus'],['ivy tech community college - columbus']
lab19_a8d7b989ba05467c875e8af7,Seymour High School,seymour high school,Company,['Seymour High School'],['seymour high school']
